LINK_ID,terrain_shadow_ratio,terrain_shadow_max,building_shadow_ratio,building_shadow_mean_hours,building_shadow_max_hours,building_shadow_peak_ratio,combined_shadow_ratio,terrain_shadow_percent,building_shadow_percent,combined_shadow_percent
1830001906,0.0588235296308994,0.0588235296308994,0.0705882352941176,0.6,1.5,0.4,0.1252595157746006,5.9,7.1,12.5
1830001908,0.0588235296308994,0.0588235296308994,0.2352941176470588,2.0,2.5,1.0,0.2802768167765701,5.9,23.5,28.0
1830001909,0.0588235296308994,0.0588235296308994,0.2470588235294117,2.1,2.5,0.8,0.2913494811338536,5.9,24.7,29.1
1830001911,0.0718954251044326,0.1176470592617988,0.2696078431372549,2.2916666666666665,5.0,0.6666666666666666,0.3221196977478453,7.2,27.0,32.2
1830001914,0.0588235296308994,0.0588235296308994,0.196078431372549,1.6666666666666667,2.5,1.0,0.24336793558562497,5.9,19.6,24.3
1830001915,0.0588235296308994,0.0588235296308994,0.0588235294117647,0.5,0.5,1.0,0.1141868514173171,5.9,5.9,11.4
1830001918,0.0588235296308994,0.0588235296308994,0.3333333333333333,2.833333333333333,3.5,1.0,0.37254901975393284,5.9,33.3,37.3
1830001919,0.0588235296308994,0.0588235296308994,0.0,0.0,0.0,0.0,0.05882352963089943,5.9,0.0,5.9
1830001920,0.0588235296308994,0.0588235296308994,0.1647058823529411,1.4,3.0,0.6,0.21384083063286885,5.9,16.5,21.4
1830001922,0.0588235296308994,0.0588235296308994,0.3076923076923077,2.6153846153846154,8.5,0.9230769230769232,0.3484162897444688,5.9,30.8,34.8
1830001923,0.0588235296308994,0.0588235296308994,0.2904411764705882,2.46875,5.0,0.625,0.3321799309513367,5.9,29.0,33.2
1830001924,0.0588235296308994,0.0588235296308994,0.3725490196078431,3.1666666666666665,8.5,0.7619047619047619,0.4094579009448781,5.9,37.3,40.9
1830001925,0.0588235296308994,0.0588235296308994,0.2254901960784313,1.9166666666666667,3.0,1.0,0.27104959647883375,5.9,22.5,27.1
1830001926,0.0588235296308994,0.0588235296308994,0.0176470588235294,0.15,0.5,0.3,0.07543252616682472,5.9,1.8,7.5
