LINK_ID,ROAD_NAME,교량명
1830190800,통영대전고속도로,세천3교
1860654601,장대로,유성교
1870207700,경부고속도로,가양대교
1830008400,충무로,
1850066101,갈마로,괴정육교
1870496702,갑천도시고속도로,불무교
1870359000,구즉세종로,신일교
1870359000,구즉세종로,신일고가교
1860645801,엑스포로,엑스포다리
1830003608,대전로,낭월다리
1850019500,벌곡로,고릿골구름다리
1830008004,계족로,제2치수교
1850320302,관저중로64번길,
1850019501,벌곡로,모세골교
1860188000,신촌1길,우산봉교
1840194001,계룡로,계룡육교
1860388500,죽동로,죽2교
1860674703,문화원로6번길,봉명교
1830057702,이사로,
1830057702,이사로,무명교
1860126601,신성남로,탄동교
1840001501,대둔산로,안영교
1840028500,유등천동로,유등교
1840007402,계룡로,수침교
1850208400,동서대로,도안호수교
1860339500,호남고속도로지선,유성천교(논산)
1860339500,호남고속도로지선,구암교
1840196701,대둔산로,안영고가교
1840196701,대둔산로,안영IC1교
1840196701,대둔산로,안영교
1850058802,괴정로,유등천좌안1교
1830027100,대전천동로,선화교
1830027100,대전천동로,삼선교
1870475600,대청로,대청대교
1860412600,유성대로,탄동교
1850153500,갑천도시고속도로,대화대교
1860166700,호남고속도로지선,유성JCT교
1860166700,호남고속도로지선,유성JCT2교
1850058604,유등로,유등천좌안1교
1860083300,한밭대로,죽동육교
1840065200,유등천동로,복수교
1840065200,유등천동로,
1870013713,옛신탄진로,
1860197701,학하복용서로,화산제2교
1860654603,장대로,유성교
1870477500,덕암로,상서교
1860336000,대전남부순환고속도로,원내교
1860336000,대전남부순환고속도로,서대전JCT1교
1830031202,가양로,가양교
1860638700,당진영덕고속도로,유성교
1830179300,대전남부순환고속도로,산내JCT3교
1830179300,대전남부순환고속도로,이사2교
1830476901,대전천북로,현암교
1860412601,유성대로,탄동교
1830474116,산서로,대별4교
1830474116,산서로,산내JCT교
1840126709,운남로,구완1교
1870501600,천변도시고속화도로,한빛대교
1850324802,유등로,유등천좌안1교
1850004700,계백로,가수원교
1830029001,우암로,삼선교
1870496100,대덕대로1277번길,문평대교
1860057300,장대로,유성교
1850057400,가장로,유등천좌안1교
1860067602,한밭대로492번길,유성대교
1860221200,봉명로,원신흥교
1850237700,대전남부순환고속도로,모세골교
1860688801,-,제2엑스포교
1850051100,변동로,태평교
1860072000,한밭대로,유성대교
1860408903,유성대로,신성육교
1870487600,대전천북로,한남대교
1860147500,-,용신교
1860147500,-,신일고가교
1860605000,갑천도시고속도로,카이스트교
1860688501,-,제2엑스포교
1840047101,중교로,중교
1860100501,은구비로,
1840000702,대둔산로,안영고가교
1840196002,유등로,유등천좌안1교
1870481600,방두말1길,
1860113101,노은로,하기1교
1860220500,봉명로,원신흥교
1860004405,현충원로,유성천변교
1860205002,동서대로,진잠교
1860078300,어은로,어은교
1850333703,구봉산북로94번길,
1870494201,천변도시고속도로,대화대교
1870302001,-,현도교
1870195200,경부고속도로,금강1교
1870152000,장동로228번길,장승교
1850336601,계백로,불티구름다리
1870301700,신탄진로,현도교
1840061702,어덕마을로,중촌고가교
1870158800,동부로,가양대교
1870003200,호남고속도로지선,경부고속도로
1830008301,충무로,제1치수교
1830474500,대종로,옥계교
1860414000,신성로,신성1교
1870488000,대전천북로,세월교
1850156000,하상도로,
1850054601,유등로,유등천좌안1교
1860007304,호남고속도로지선,하기1교
1860007304,호남고속도로지선,유성JCT교
1860007304,호남고속도로지선,유성JCT2교
1840193401,대종로,용문교
1840194201,계룡로,계룡육교
